listing_id,source,url,title,price,currency,period,area,bedrooms,bathrooms,furnished,property_type,governorate,city,district,latitude,longitude,amenities,posted_date,agency,scraped_at
AQ100258,aqarmap,https://www.aqarmap.com/en/property/details-100258.html,"Furnished Apartment for rent in Dokki, Giza",27000,EGP,monthly,172,3,1,Furnished,Apartment,Giza,Giza,Dokki,30.04231,31.20307,Parking|Built-in Kitchen,2026-06-17,Bayut Verified,2026-06-30T09:00:00
BA100384,bayut,https://www.bayut.eg/property/details-100384.html,"Semi-furnished Chalet for rent in Sheikh Zayed, 6th of October",18500,EGP,monthly,108,,3,Semi-furnished,Chalet,Giza,6th of October,Sheikh Zayed,30.04198,30.97218,Gym|Built-in Kitchen,2026-03-14,Private Owner,2026-06-30T09:00:00
BA100086,bayut,https://www.bayut.eg/property/details-100086.html,"Furnished Studio for rent in Nasr City, Cairo",11500,EGP,monthly,63,0,1,Furnished,Studio,Cairo,Cairo,Nasr City,30.04129,31.36696,Garden|Gym,2026-03-10,Private Owner,2026-06-30T09:00:00
AQ100239,aqarmap,https://www.aqarmap.com/en/property/details-100239.html,"Semi-furnished Townhouse for rent in Sheikh Zayed, 6th of October",47000,EGP,monthly,,3,3,Semi-furnished,Townhouse,Giza,6th of October,Sheikh Zayed,30.03432,30.97205,Garden|Elevator,2026-03-16,ERA Egypt,2026-06-30T09:00:00
BA100138,bayut,https://www.bayut.eg/property/details-100138.html,"Unfurnished Studio for rent in Rehab, New Cairo",48000,EGP,yearly,41,0,1,Unfurnished,Studio,Cairo,New Cairo,Rehab,30.06493,31.48812,Garden|Elevator|Backup Generator,2026-03-05,ERA Egypt,2026-06-30T09:00:00
BA100192,bayut,https://www.bayut.eg/property/details-100192.html,"Semi-furnished Penthouse for rent in Dokki, Giza",51500,EGP,monthly,357,5,,Semi-furnished,Penthouse,Giza,Giza,,30.04081,31.20978,Backup Generator|Maids Room|Gym,2026-03-18,ERA Egypt,2026-06-30T09:00:00
AQ100295,aqarmap,https://www.aqarmap.com/en/property/details-100295.html,"Furnished Studio for rent in Sheikh Zayed, 6th of October",283,USD,monthly,59 Sq. M.,0,1,Furnished,Studio,Giza,6th of October,Sheikh Zayed,30.03533,30.97992,Elevator|Garden|Balcony|Built-in Kitchen|Backup Generator|Gym,2026-05-07,Coldwell Banker,2026-06-30T09:00:00
BA100374,bayut,https://www.bayut.eg/property/details-100374.html,"Unfurnished Chalet for rent in Rehab, New Cairo",16000,EGP,monthly,126,,2,Unfurnished,Chalet,Cairo,New Cairo,Rehab,30.05389,31.49334,Elevator|Parking|Backup Generator,2026-04-04,Bayut Verified,2026-06-30T09:00:00
AQ100227,aqarmap,https://www.aqarmap.com/en/property/details-100227.html,"Furnished Penthouse for rent in Haram, Giza",28500,EGP,monthly,277,4,3,Furnished,Penthouse,Giza,Giza,,29.99411,31.16425,Swimming Pool|Kids Area|Elevator|Garden|Parking|Maids Room,2026-03-25,Private Owner,2026-06-30T09:00:00
BA100231,bayut,https://www.bayut.eg/property/details-100231.html,"Unfurnished Studio for rent in Faisal, Giza",4000,EGP,monthly,54,0,1,Unfurnished,Studio,Giza,Giza,Faisal,29.97982,31.15412,Parking|Maids Room|Balcony|Backup Generator,2026-03-29,Aqarmap Agent,2026-06-30T09:00:00
AQ100174,aqarmap,https://www.aqarmap.com/en/property/details-100174.html,"Semi-furnished Villa for rent in Haram, Giza",40000,EGP,monthly,574,5,1,Semi-furnished,Villa,Giza,Giza,Haram,29.98637,31.16705,Central AC|Maids Room|Elevator|Parking|Garden|Swimming Pool,2026-05-15,ERA Egypt,2026-06-30T09:00:00
BA100210,bayut,https://www.bayut.eg/property/details-100210.html,"Semi-furnished Chalet for rent in Mohandessin, Giza",15500,EGP,monthly,91,2,1,Semi-furnished,Chalet,Giza,Giza,Mohandessin,30.0452,31.20289,Parking|Security|Central AC|Swimming Pool|Garden|Gym,2026-03-25,Bayut Verified,2026-06-30T09:00:00
AQ100211,aqarmap,https://www.aqarmap.com/en/property/details-100211.html,"Unfurnished Duplex for rent in Maadi, Cairo",31500,EGP,monthly,190,4,4,Unfurnished,Duplex,Cairo,Cairo,Maadi,29.95647,31.25627,Maids Room|Security|Parking|Kids Area|Backup Generator|Swimming Pool,2026-06-07,Nawy,2026-06-30T09:00:00
AQ100320,aqarmap,https://www.aqarmap.com/en/property/details-100320.html,"Furnished Villa for rent in Sidi Gaber, Alexandria",102500,EGP,monthly,674,6,3,Furnished,Villa,Alexandria,Alexandria,Sidi Gaber,31.21564,29.93321,Balcony|Built-in Kitchen,2026-04-13,Nawy,2026-06-30T09:00:00
AQ100259,aqarmap,https://www.aqarmap.com/en/property/details-100259.html,"Semi-furnished Duplex for rent in Dokki, Giza",29500,EGP,monthly,218,5,3,Semi-furnished,Duplex,Giza,Giza,Dokki,30.03672,31.21788,Maids Room|Swimming Pool,2026-04-29,Coldwell Banker,2026-06-30T09:00:00
AQ100154,aqarmap,https://www.aqarmap.com/en/property/details-100154.html,"Furnished Townhouse for rent in Miami, Alexandria",56500,EGP,monthly,321,4,3,Furnished,Townhouse,Alexandria,Alexandria,Miami,31.26256,30.01517,Security|Backup Generator|Garden|Parking|Swimming Pool|Kids Area,2026-06-18,ERA Egypt,2026-06-30T09:00:00
BA100325,bayut,https://www.bayut.eg/property/details-100325.html,"Furnished Duplex for rent in Smouha, Alexandria",54000,EGP,monthly,253,5,2,Furnished,Duplex,Alexandria,Alexandria,Smouha,31.20603,29.94807,Swimming Pool|Security|Balcony|Built-in Kitchen|Maids Room,2026-04-11,Private Owner,2026-06-30T09:00:00
AQ100327,aqarmap,https://www.aqarmap.com/en/property/details-100327.html,"Semi-furnished Villa for rent in Roushdy, Alexandria",81500,EGP,monthly,375,6,,Semi-furnished,Villa,Alexandria,Alexandria,Roushdy,31.23195,29.96375,Swimming Pool|Gym|Parking|Elevator|Garden,2026-04-12,Private Owner,2026-06-30T09:00:00
AQ100375,aqarmap,https://www.aqarmap.com/en/property/details-100375.html,"Unfurnished Apartment for rent in Haram, Giza",12500,EGP,monthly,196,3,3,Unfurnished,Apartment,Giza,Giza,Haram,29.99668,31.16705,Parking|Backup Generator,2026-05-13,Aqarmap Agent,2026-06-30T09:00:00
AQ100105,aqarmap,https://www.aqarmap.com/en/property/details-100105.html,"Furnished Duplex for rent in Fifth Settlement, New Cairo",1182,USD,monthly,293,4,3,Furnished,Duplex,Cairo,New Cairo,Fifth Settlement,29.99947,31.48309,Parking|Built-in Kitchen|Backup Generator|Garden|Balcony|Elevator,2026-04-20,Nawy,2026-06-30T09:00:00
AQ100007,aqarmap,https://www.aqarmap.com/en/property/details-100007.html,"Semi-furnished Chalet for rent in Miami, Alexandria",21000,EGP,monthly,168 Sq. M.,2,2,Semi-furnished,Chalet,Alexandria,Alexandria,Miami,31.26242,30.01449,Elevator|Built-in Kitchen|Maids Room|Swimming Pool,2026-03-07,Aqarmap Agent,2026-06-30T09:00:00
BA100001,bayut,https://www.bayut.eg/property/details-100001.html,"Semi-furnished Chalet for rent in El Shorouk, Shorouk",10000,EGP,monthly,,2,2,Semi-furnished,Chalet,Cairo,Shorouk,,30.11485,31.61193,Built-in Kitchen|Gym|Elevator|Central AC,2026-05-18,Aqarmap Agent,2026-06-30T09:00:00
BA100396,bayut,https://www.bayut.eg/property/details-100396.html,"Unfurnished Villa for rent in Haram, Giza",54500,EGP,monthly,667,,3,Unfurnished,Villa,Giza,Giza,,29.99469,31.15353,Parking|Security|Built-in Kitchen,2026-05-21,Coldwell Banker,2026-06-30T09:00:00
BA100249,bayut,https://www.bayut.eg/property/details-100249.html,"Semi-furnished Studio for rent in Maadi, Cairo",11000,EGP,monthly,46,0,1,Semi-furnished,Studio,Cairo,Cairo,,29.95909,31.25538,Balcony|Garden|Swimming Pool|Security|Kids Area,2026-04-12,Aqarmap Agent,2026-06-30T09:00:00
AQ100308,aqarmap,https://www.aqarmap.com/en/property/details-100308.html,"Furnished Studio for rent in Faisal, Giza",4000,EGP,monthly,38,0,1,Furnished,Studio,Giza,Giza,Faisal,29.99217,31.15472,Parking|Kids Area|Maids Room|Elevator,2026-06-03,Coldwell Banker,2026-06-30T09:00:00
BA100038,bayut,https://www.bayut.eg/property/details-100038.html,"Semi-furnished Penthouse for rent in Maadi, Cairo",70500,EGP,monthly,337,4,3,Semi-furnished,Penthouse,Cairo,Cairo,Maadi,29.96962,31.25168,Swimming Pool|Balcony|Elevator|Garden|Central AC,2026-05-20,Bayut Verified,2026-06-30T09:00:00
BA100142,bayut,https://www.bayut.eg/property/details-100142.html,"Unfurnished Villa for rent in Madinaty, New Cairo",48000,EGP,monthly,347,5,5,Unfurnished,Villa,Cairo,New Cairo,Madinaty,30.10215,31.62868,Parking|Garden,2026-04-08,ERA Egypt,2026-06-30T09:00:00
AQ100223,aqarmap,https://www.aqarmap.com/en/property/details-100223.html,"Furnished Apartment for rent in Sheikh Zayed, 6th of October",534000,EGP,yearly,191,4,3,Furnished,Apartment,Giza,6th of October,Sheikh Zayed,30.04326,30.98426,Parking|Elevator|Gym|Balcony,2026-04-07,ERA Egypt,2026-06-30T09:00:00
AQ100354,aqarmap,https://www.aqarmap.com/en/property/details-100354.html,"Semi-furnished Studio for rent in Miami, Alexandria",6000,EGP,monthly,46,,1,Semi-furnished,Studio,Alexandria,Alexandria,Miami,31.26852,30.01935,Garden|Central AC|Kids Area|Gym|Balcony,2026-05-02,Coldwell Banker,2026-06-30T09:00:00
BA100364,bayut,https://www.bayut.eg/property/details-100364.html,"Unfurnished Townhouse for rent in Miami, Alexandria",39500,EGP,monthly,,3,1,Unfurnished,Townhouse,Alexandria,Alexandria,Miami,31.26433,30.01069,Swimming Pool|Central AC|Elevator|Maids Room|Parking|Kids Area,2026-05-16,Bayut Verified,2026-06-30T09:00:00
BA100348,bayut,https://www.bayut.eg/property/details-100348.html,"Semi-furnished Villa for rent in Sheikh Zayed, 6th of October",108000,EGP,monthly,577,4,2,Semi-furnished,Villa,Giza,6th of October,Sheikh Zayed,30.03115,30.97614,Elevator|Balcony|Garden|Swimming Pool|Maids Room|Built-in Kitchen,2026-06-29,ERA Egypt,2026-06-30T09:00:00
AQ100200,aqarmap,https://www.aqarmap.com/en/property/details-100200.html,"Unfurnished Penthouse for rent in El Shorouk, Shorouk",39500,EGP,monthly,361,3,3,Unfurnished,Penthouse,Cairo,Shorouk,El Shorouk,30.11988,31.61824,Backup Generator|Built-in Kitchen|Swimming Pool|Maids Room,2026-03-03,ERA Egypt,2026-06-30T09:00:00
AQ100330,aqarmap,https://www.aqarmap.com/en/property/details-100330.html,"Semi-furnished Studio for rent in Haram, Giza",4000,EGP,monthly,43,0,1,Semi-furnished,Studio,Giza,Giza,Haram,29.99376,31.16238,Gym|Built-in Kitchen|Central AC|Balcony|Backup Generator,2026-05-14,Bayut Verified,2026-06-30T09:00:00
BA100012,bayut,https://www.bayut.eg/property/details-100012.html,"Furnished Townhouse for rent in Maadi, Cairo",51500,EGP,monthly,276,4,3,Furnished,Townhouse,Cairo,Cairo,Maadi,29.96075,31.25702,Garden|Parking|Swimming Pool,2026-06-18,Nawy,2026-06-30T09:00:00
BA100003,bayut,https://www.bayut.eg/property/details-100003.html,"Unfurnished Apartment for rent in Mokattam, Cairo",19000,EGP,monthly,149,3,3,Unfurnished,Apartment,Cairo,Cairo,Mokattam,30.01958,31.30064,Balcony|Gym|Parking|Swimming Pool,2026-03-24,Aqarmap Agent,2026-06-30T09:00:00
BA100122,bayut,https://www.bayut.eg/property/details-100122.html,"Semi-furnished Studio for rent in Zamalek, Cairo",16500,EGP,monthly,58,,,Semi-furnished,Studio,Cairo,Cairo,Zamalek,30.05277,31.22127,Backup Generator|Security|Central AC|Garden|Swimming Pool|Maids Room,2026-06-13,Bayut Verified,2026-06-30T09:00:00
AQ100301,aqarmap,https://www.aqarmap.com/en/property/details-100301.html,"Unfurnished Studio for rent in Gleem, Alexandria",11500,EGP,monthly,58 Sq. M.,0,1,Unfurnished,Studio,Alexandria,Alexandria,Gleem,31.23936,29.95714,Gym|Central AC|Balcony,2026-03-03,Nawy,2026-06-30T09:00:00
AQ100331,aqarmap,https://www.aqarmap.com/en/property/details-100331.html,"Unfurnished Apartment for rent in Faisal, Giza",11000,EGP,monthly,180,4,1,Unfurnished,Apartment,Giza,Giza,Faisal,29.99643,31.14238,Parking|Kids Area|Garden|Gym|Elevator,2026-03-02,Aqarmap Agent,2026-06-30T09:00:00
BA100314,bayut,https://www.bayut.eg/property/details-100314.html,"Furnished Studio for rent in Dokki, Giza",5500,EGP,monthly,39,0,1,Furnished,Studio,Giza,Giza,,30.03041,31.21082,Kids Area|Gym|Built-in Kitchen|Security|Garden,2026-04-08,Bayut Verified,2026-06-30T09:00:00
AQ100089,aqarmap,https://www.aqarmap.com/en/property/details-100089.html,"Furnished Townhouse for rent in Zamalek, Cairo",131500,EGP,monthly,,,2,Furnished,Townhouse,Cairo,Cairo,Zamalek,30.05972,31.22098,Maids Room|Backup Generator|Swimming Pool|Built-in Kitchen|Parking,2026-04-14,Aqarmap Agent,2026-06-30T09:00:00
AQ100008,aqarmap,https://www.aqarmap.com/en/property/details-100008.html,"Semi-furnished Villa for rent in Madinaty, New Cairo",48500,EGP,monthly,,5,,Semi-furnished,Villa,Cairo,New Cairo,Madinaty,30.09486,31.62946,Swimming Pool|Parking|Backup Generator|Balcony|Garden,2026-04-18,Private Owner,2026-06-30T09:00:00
AQ100109,aqarmap,https://www.aqarmap.com/en/property/details-100109.html,"Unfurnished Studio for rent in Dokki, Giza",7500,EGP,monthly,66,,1,Unfurnished,Studio,Giza,Giza,Dokki,30.03887,31.21681,Kids Area|Maids Room|Built-in Kitchen|Parking,2026-04-03,Coldwell Banker,2026-06-30T09:00:00
AQ100397,aqarmap,https://www.aqarmap.com/en/property/details-100397.html,"Unfurnished Townhouse for rent in Roushdy, Alexandria",46000,EGP,monthly,234,4,4,Unfurnished,Townhouse,Alexandria,Alexandria,Roushdy,31.21828,29.9498,Kids Area|Balcony,2026-06-15,Bayut Verified,2026-06-30T09:00:00
BA100388,bayut,https://www.bayut.eg/property/details-100388.html,"Unfurnished Chalet for rent in Dokki, Giza",19000,EGP,monthly,168,2,2,Unfurnished,Chalet,Giza,Giza,,30.03033,31.20344,Swimming Pool|Elevator|Built-in Kitchen|Central AC|Gym|Garden,2026-06-29,Bayut Verified,2026-06-30T09:00:00
AQ100286,aqarmap,https://www.aqarmap.com/en/property/details-100286.html,"Furnished Duplex for rent in Mokattam, Cairo","31,500",EGP,monthly,212,3,,Furnished,Duplex,Cairo,Cairo,Mokattam,30.03015,31.30085,Elevator|Backup Generator,2026-06-28,Aqarmap Agent,2026-06-30T09:00:00
AQ100230,aqarmap,https://www.aqarmap.com/en/property/details-100230.html,"Unfurnished Penthouse for rent in Sheikh Zayed, 6th of October",52500,EGP,monthly,242,4,3,Unfurnished,Penthouse,Giza,6th of October,Sheikh Zayed,30.03181,30.97601,Built-in Kitchen|Maids Room|Security,2026-05-02,Private Owner,2026-06-30T09:00:00
BA100125,bayut,https://www.bayut.eg/property/details-100125.html,"Semi-furnished Chalet for rent in Roushdy, Alexandria",22000,EGP,monthly,133,3,3,Semi-furnished,Chalet,Alexandria,Alexandria,Roushdy,31.2242,29.95623,Security|Maids Room|Garden,2026-05-26,Private Owner,2026-06-30T09:00:00
BA100036,bayut,https://www.bayut.eg/property/details-100036.html,"Unfurnished Chalet for rent in Faisal, Giza",5000,EGP,monthly,86,2,2,Unfurnished,Chalet,Giza,Giza,,29.97858,31.1526,Kids Area|Security|Gym,2026-04-29,Aqarmap Agent,2026-06-30T09:00:00
AQ100243,aqarmap,https://www.aqarmap.com/en/property/details-100243.html,"Unfurnished Duplex for rent in Gleem, Alexandria",630000,EGP,yearly,259 Sq. M.,4,2,Unfurnished,Duplex,Alexandria,Alexandria,Gleem,31.24636,29.95686,Parking|Central AC|Gym|Backup Generator|Maids Room,2026-03-04,ERA Egypt,2026-06-30T09:00:00
AQ100062,aqarmap,https://www.aqarmap.com/en/property/details-100062.html,"Furnished Studio for rent in Roushdy, Alexandria",293,USD,monthly,65,0,1,Furnished,Studio,Alexandria,Alexandria,Roushdy,31.22184,29.966,Parking|Gym|Kids Area,2026-03-24,Aqarmap Agent,2026-06-30T09:00:00
AQ100072,aqarmap,https://www.aqarmap.com/en/property/details-100072.html,"Unfurnished Studio for rent in Zamalek, Cairo",14500,EGP,monthly,49,0,1,Unfurnished,Studio,Cairo,Cairo,Zamalek,30.05569,31.22224,Swimming Pool|Parking|Security|Backup Generator|Central AC,2026-05-28,ERA Egypt,2026-06-30T09:00:00
AQ100288,aqarmap,https://www.aqarmap.com/en/property/details-100288.html,"Unfurnished Apartment for rent in Sheikh Zayed, 6th of October",626,USD,monthly,205,4,,Unfurnished,Apartment,Giza,6th of October,Sheikh Zayed,30.03733,30.97779,Backup Generator|Parking|Security|Garden|Balcony,2026-04-01,Private Owner,2026-06-30T09:00:00
AQ100022,aqarmap,https://www.aqarmap.com/en/property/details-100022.html,"Unfurnished Apartment for rent in Madinaty, New Cairo",11000,EGP,monthly,109,2,2,Unfurnished,Apartment,Cairo,New Cairo,Madinaty,30.09832,31.62414,Balcony|Built-in Kitchen|Elevator|Kids Area|Central AC,2026-05-19,Coldwell Banker,2026-06-30T09:00:00
AQ100085,aqarmap,https://www.aqarmap.com/en/property/details-100085.html,"Furnished Duplex for rent in Haram, Giza",33000,EGP,monthly,300,3,2,Furnished,Duplex,Giza,Giza,Haram,29.99155,31.15599,Garden|Gym|Elevator|Parking,2026-04-08,Bayut Verified,2026-06-30T09:00:00
